Student_ID,First_Name,Last_Name,Gender,Attendance (%),Internal_marks,Final_Score,Assignments_Avg,Quizzes_score,Previous_gpa,Semester
S1000,Omar,Williams,Female,97.36,40.61,59.61,73.69,53.17,2.75,II/I
S1001,Maria,Brown,Male,97.71,57.27,74.0,74.23,98.23,3.9,IV/II
S1002,Ahmed,Jones,Male,99.52,41.84,63.85,85.85,50.0,3.46,IV/I
S1003,Omar,Williams,Female,90.38,45.65,44.44,68.1,66.27,3.2,IV/II
S1004,John,Smith,Female,59.41,53.13,61.77,67.66,83.98,2.31,IV/II
S1005,Liam,Brown,Male,60.6,70.21,64.48,87.85,52.26,2.31,II/I
S1006,Ahmed,Jones,Male,67.01,90.85,93.74,89.0,54.17,2.12,III/II
S1007,Ahmed,Smith,Male,65.91,91.72,59.47,50.72,53.83,3.73,II/II
S1008,Omar,Smith,Female,97.83,76.97,62.75,57.19,79.08,3.2,II/I
S1009,Sara,Smith,Female,89.45,95.69,86.97,60.65,94.8,3.42,III/I
S1010,John,Smith,Female,86.2,70.0,85.54,67.58,77.77,2.04,II/I
S1011,Omar,Williams,Female,59.3,93.34,87.9,64.57,80.18,3.94,III/I
S1012,John,Davis,Male,95.48,67.24,97.23,83.43,67.3,3.66,IV/II
S1013,John,Williams,Male,91.39,56.63,87.73,91.41,50.94,2.42,IV/I
S1014,Liam,Williams,Male,58.18,94.98,64.46,59.6,51.08,2.36,II/I
S1015,Ahmed,Jones,Male,93.56,63.28,89.29,78.15,94.42,2.37,III/I
S1016,Maria,Jones,Female,63.61,70.2,70.52,68.39,55.13,2.61,II/I
S1017,Liam,Davis,Female,54.04,59.73,56.66,75.29,99.99,3.05,IV/I
S1018,Liam,Jones,Male,82.84,79.77,58.18,81.04,58.22,2.86,IV/II
S1019,John,Johnson,Male,82.69,99.7,53.43,94.68,83.73,2.58,II/I
S1020,Emma,Davis,Male,54.75,41.53,48.7,59.61,97.45,3.22,I/II
S1021,Ahmed,Jones,Male,65.94,93.99,51.07,54.35,68.11,2.28,III/I
S1022,Sara,Davis,Male,99.64,40.24,43.79,81.36,86.72,2.58,IV/I
S1023,Liam,Williams,Female,83.92,61.85,93.31,69.71,67.54,2.73,III/I
S1024,Maria,Williams,Female,86.5,50.12,95.86,58.15,65.25,2.91,III/I
S1025,Emma,Davis,Male,60.65,85.44,75.21,55.85,60.09,3.57,I/I
S1026,Emma,Johnson,Male,53.94,43.04,90.43,77.95,91.05,2.4,IV/I
S1027,Sara,Johnson,Male,63.85,73.21,51.01,65.02,62.87,3.03,II/I
S1028,Liam,Davis,Female,62.44,57.7,94.1,99.87,64.16,3.18,III/I
S1029,Maria,Jones,Female,61.73,48.02,70.38,70.3,99.95,2.09,III/II
S1030,Ahmed,Brown,Female,59.64,86.31,44.03,60.61,66.37,3.22,I/I
S1031,Ali,Johnson,Male,78.74,53.05,48.48,81.44,71.14,2.34,I/II
S1032,Maria,Smith,Female,66.41,53.42,58.54,62.21,99.5,2.13,III/I
S1033,Sara,Williams,Male,91.02,56.5,42.61,74.7,68.47,3.9,IV/II
S1034,Emma,Davis,Female,59.2,75.21,58.56,74.13,68.31,3.93,III/I
S1035,Ahmed,Smith,Female,73.23,79.58,43.6,72.68,91.39,3.62,I/I
S1036,Maria,Davis,Female,50.68,41.06,54.16,89.8,65.6,2.61,II/I
S1037,Ali,Williams,Male,74.08,54.51,55.94,60.83,61.69,2.2,III/II
S1038,Ali,Williams,Male,52.79,65.86,99.66,95.22,71.16,3.37,IV/II
S1039,John,Johnson,Female,98.89,59.92,54.13,89.57,85.03,2.88,I/II
S1040,John,Johnson,Male,89.53,93.05,54.35,66.66,52.16,2.24,IV/II
S1041,Omar,Smith,Male,74.51,87.26,81.21,59.03,68.7,2.99,III/I
S1042,Sara,Davis,Male,54.33,77.55,91.56,63.98,67.31,2.07,II/I
